class_id,subject_id,teacher_id,periods_per_week,dept
11,CHEM109,rashed,1,CHEM
11,CHEM109,habib,2,CHEM
11,CHEM114,shakil,2,CHEM
11,EEE159,tanvir,3,EEE
11,EEE160,ehsan,1,EEE
11,MATH161,rana,1,MATH
11,CHEM109,nobi,1,CHEM
11,CHEM109,miran,1,CHEM
11,CHEM114,shakila,1,CHEM
11,EEE159,tbu,3,EEE
11,EEE160,ehsan,1,EEE
11,MATH161,rana,1,MATH
11,MATH161,alim,1,MATH
11,MATH161,israt,2,MATH
11,ME101,MAR2,1,ME
11,ME101,AKM,1,ME
11,ME101,NH,1,ME
11,ME160,tbu,1,ME
11,PHY105,nasreen,1,PHY
11,PHY105,ratan,1,PHY
11,PHY105,jellur,1,PHY
11,SHOP160,rajib,1,SHOP
12,CHEM141,kaium,1,CHEM
12,CHEM141,chanchal,2,CHEM
12,HUM103,rauf,2,HUM
12,HUM103,mahfuzur,1,HUM
12,HUM101,rahul,1,HUM
12,HUM101,rakinul,1,HUM
12,HUM101,motaleb,1,HUM
12,MATH163,halim,2,MATH
12,MATH163,mashud,2,MATH
12,ME171,SMS,1,ME
12,ME171,MM,2,ME
12,ME172,MA,1,ME
12,PHY102,tbu,1,PHY
12,PHY159,azizar,1,PHY
12,PHY159,mostak,1,PHY
12,PHY159,basith,1,PHY
12,SHOP170,shopper,1,SHOP
21,EEE259,tbu,4,EEE
21,EEE260,rahim,1,EEE
21,HUM303,h1,1,HUM
21,HUM303,h2,1,HUM
21,HUM303,h3,1,HUM
21,MATH261,rana,1,MATH
21,MATH261,alim,1,MATH
21,MATH261,israt,2,MATH
21,ME203,MZH,2,ME
21,ME203,AS,1,ME
21,ME204,tbu,1,ME
21,ME247,MAM,2,ME
21,ME247,MAA,1,ME
31,IPE331,NRD,1,IPE
31,IPE331,ABMM,1,IPE
31,IPE331,NAS,2,IPE
31,IPE332,ipe332,1,IPE
31,ME305,NH,1,ME
31,ME305,SS,2,ME
31,ME306,tbu,1,ME
31,ME321,MMR,2,ME
31,ME321,TH,1,ME
31,ME349,MASA,1,ME
31,ME349,SC,2,ME
31,ME350,tbu,1,ME
31,ME361,MM,1,ME
31,ME361,KAR,2,ME
31,ME366,me366,1,ME
31,ME366,me366,1,ME
31,ME366,me366,1,ME